Stage Name,Full Name,Date of Birth,Group,Country
Yiren,Wang Yiren,2000-12-29,Everglow,China
Yiyeon,Jung Dasol,1995-05-28,BVNDIT,South Korea
Yooa,Yoo Siah,1995-09-17,Oh My Girl,South Korea
Yoohyeon,Kim Yoohyeon,1997-01-07,Dreamcatcher,South Korea
Yoojin,Jang Yoojin,1992-09-14,,South Korea
Yoojin,Ahn Yoojin,2000-02-29,ARTBEAT,South Korea
Yoojung,Choi Yoojung,1999-11-12,Weki Meki,South Korea
Yookyung,Seo Yookyung,1993-03-15,,South Korea
Yoomin,Na Yoomin,1993-08-29,MELODYDAY,South Korea
Yoon,Heo Yoon,1994-09-23,4TEN,South Korea
Yoon,Ji Hayoon,1997-07-08,Gate9,South Korea
Yoon,Shim Jayoon,2004-04-14,STAYC,South Korea
Yoona,Im Yoona,1990-05-30,SNSD,South Korea
Yoona,Ogura Yuuna,2000-10-13,bugAboo,Japan
Yoona,Oh Yoona,2009-10-07,UNIS,South Korea
Yoonhye,Jung Yoonhye,1990-04-14,Rainbow,South Korea
Yoonhye,Jung Yoonhye,2001-10-04,FANATICS,South Korea
Yoonji,,1998-07-21,Lusty,South Korea
Yoonjo,Shin Yoonjo,1992-12-14,UNI.T,South Korea
Yooyeon,Kim Yooyeon,2001-02-09,tripleS,South Korea
Yooyoung,Lee Yooyoung,1995-01-23,Hello Venus,South Korea
Youi,Kim Jihyeo,2000-04-24,Dreamnote,South Korea
Youngeun,Seo Youngeun,2004-12-27,Kep1er,South Korea
Youngheun,Go Youngheun,1994-11-20,,South Korea
Youngjae,Jo Youngjae,2003-10-19,KELT9b,South Korea
Youngji,Hur Youngji,1994-08-30,KARA,South Korea
Yua,Mikami Yua,1993-08-16,Honey Popcorn,Japan
Yubeen,Jin Yubeen,2006-09-05,TRACER,South Korea
Yubin,Kim Yubin,1988-10-04,Wonder Girls,South Korea
Yubin,Bae Yubin,1997-09-09,Oh My Girl,South Korea
Yubin,Cho Yubin,1999-10-09,,South Korea
Yubin,Kim Yubin,2002-02-27,Bling Bling,South Korea
Yubin,Gong Yubin,2005-02-03,tripleS,South Korea
Yubin,Oh Yubin,1998-11-26,ARTBEAT,South Korea
Yue,Nancy Yang,2004-07-03,Lapillus,USA
Yuem,Park Subin,1996-12-25,H.U.B,South Korea
Yuha,Kang Kyungwon,1997-11-05,Hinapia,South Korea
Yuina,Futatsugami Yuina,2007-02-27,Candy Shop,South Korea
Yujeong,Kim Yujeong,1992-02-14,,South Korea
Yujeong,Nam Yujeong,1991-05-02,Brave Girls,South Korea
Yujeong,Lee Yujeong,2004-06-14,LIGHTSUM,South Korea
Yuji,Son Yuji,1998-11-25,3YE,South Korea
Yujin,Choi Yujin,1996-08-12,Kep1er,South Korea
Yujin,Seo Yoojin,1994-06-18,Playback,South Korea
Yujin,Jeong Yujin,1989-10-23,S#aFLA,South Korea
Yujin,Ahn Yujin,2003-09-01,IVE,South Korea
Yuju,Choi Yuna,1997-10-04,Gfriend,South Korea
Yuju,Choi Yuju,1997-03-05,Cherry Bullet,South Korea
Yuki,Lim Jiyeon,2002-01-30,Saturday,South Korea
Yuki,Mori Koyuki,2002-11-06,Purple Kiss,Japan
Yukyung,Lee Yukyung,1999-11-05,ALICE,South Korea
Yulhee,Kim Yulhee,1997-11-27,,South Korea
Yuna,Seo Yuna,1992-12-30,AoA,South Korea
Yuna,Lee Yuna,1993-04-06,Brave Girls,South Korea
Yuna,Shin Yuna,2003-12-09,ITZY,South Korea
Yuna,Iimura Yuna,2005-04-23,CSR,Japan
Yuna,Na Yuna,,Hearts2Hearts,South Korea
Yunah,Noh Yunah,2004-01-15,ILLIT,South Korea
Yunha,Bang Yunha,2009-02-28,UNIS,South Korea
Yunji,Lee Yunji,1992-04-04,Playback,South Korea
Yunji,Kim Yunji,1996-08-26,ARIAZ,South Korea
Yunjin,Huh Yunjin,2001-10-08,LE SSERAFIM,South Korea
Yunju,Seo Yunju,2005-12-26,mimiirose,South Korea
Yunkyung,Seo Yunkyung,2001-11-01,Rocket Punch,South Korea
Yunseo,Kim Yunseo,2004-07-03,BADVILLAIN,South Korea
Yunseul,Hwang Nayoon,1999-03-30,IRRIS,South Korea
Yuqi,Song Yuqi,1999-09-23,(G)I-DLE,China
Yura,Kim Ahyoung,1992-11-06,Girl's Day,South Korea
Yuri,Kwon Yuri,1989-12-05,SNSD,South Korea
Yuri,Jo Yuri,2001-10-22,IZ*ONE,South Korea
Yurim,Park Yurim,1998-04-13,3YE,South Korea
Yuuri,Tokunaga Yuuri,2001-05-16,LUNARSOLAR,Japan
Yves,Ha Sooyoung,1997-05-24,,South Korea
Zena,Kim Gayoung,2008-11-27,RESCENE,South Korea
Zin,Jin Hyunbin,2001-08-31,bugAboo,South Korea
ZN,Bae Jinye,1994-06-09,LABOUM,South Korea
Zoa,Cho Hyewon,2005-05-31,Weeekly,South Korea
Zoe,Choi Hayoung,2002-04-12,Geenius,Italia
Zuny,Kim Joomi,1994-12-08,Ladies' Code,South Korea
Zuu,Ji Yeongju,2000-03-24,SECRET NUMBER,South Korea
