stage_name,full_name,birth_date,group_name,country
E.sol,Jeon Jaehyuk,1992-09-17,14U,South Korea
E-tion,Lee Changyoon,1994-12-24,ONF,South Korea
E-Chan,Lee Changmin,1997-02-19,DKB,South Korea
E'Dawn,Kim Hyojong,1994-06-01,,South Korea
Dylan,Park Yeonjae,2002-07-26,D-CRUNCH,South Korea
DY,Jeon Doyum,2002-02-21,JUST B,South Korea
Doyoung,Kim Dongyoung,1996-02-01,NCT,South Korea
Doyoung,Kim Doyoung,2003-12-04,Treasure,South Korea
Dowoon,Yoon Dowoon,1995-08-25,DAY6,South Korea
Douhyun,Yoo Douhyun,2000-12-25,Mirae,South Korea
Doryun,Kim Doryun,2000-05-01,AIMERS,South Korea
Doojoon,Yoon Doojoon,1989-07-04,Highlight,South Korea
Dongyun,Kim Dongyun,2002-02-18,DRIPPIN,South Korea
Dongyeon,Justin Lajo,2003-09-26,POW,Philippines
Dongwoon,Son Dongwoon,1991-06-06,Highlight,South Korea
Dongwoo,Jang Dongwoo,1990-11-22,Infinite,South Korea
Dongwon,Lee Dongwon,1994-01-01,KNK,South Korea
Dongwan,Kim Dongwan,1979-11-21,Shinhwa,South Korea
Dongpyo,Son Dongpyo,2002-09-09,Mirae,South Korea
Dongmyeong,Son Dongmyeong,2000-01-20,Onewe,South Korea
Dongkyu,Moon Dongkyu,1992-11-16,Spectrum,South Korea
Dongjun,Kim Dongjun,1992-02-11,ZE:A,South Korea
Dongjun,Hwang Dongjun,1999-09-07,,South Korea
Donghyun,Kim Donghyun,1989-02-12,Boyfriend,South Korea
Donghyun,Kim Donghyun,1999-02-23,Golden Child,South Korea
Donghyun,Kim Donghyun,1998-09-17,AB6IX,South Korea
Donghyuk,Park Donghyuk,1999-12-18,BLANK2Y,South Korea
Donghun,Lee Donghun,1993-05-15,A.C.E,South Korea
Dongheon,Lee Dongheon,1995-08-04,Verivery,South Korea
Donghan,Kim Donghan,1998-07-03,WEi,South Korea
Donghae,Lee Donghae,1986-10-15,Super Junior,South Korea
Donggeon,Song Donggeon,1999-07-15,TOO,South Korea
Dokyun,Na Dokyun,1991-02-11,HISTORY,South Korea
Dojin,Jeon Yongtae,1997-03-07,ENOi,South Korea
Dohyun,Park Dohyun,2003-10-23,LUN8,South Korea
Dohyuk,Kim Dohyuk,1998-01-16,14U,South Korea
Dohyon,Nam Dohyon,2004-11-10,BAE173,South Korea
Dohwan,Gil Dohwan,2003-08-26,Ciipher,South Korea
Dohoon,Kim Dohoon,2005-01-30,TWS,South Korea
Doha,Na Gyumin,2004-03-07,BAE173,South Korea
Doha,Park Doha,1992-03-27,XEED,South Korea
DK,Lee Seongmin,1997-02-18,Seventeen,South Korea
DK,Kim Donghyuk,1997-01-03,iKON,South Korea
DK,Kim Dokyun,1998-02-16,BLANK2Y,South Korea
Dino,Lee Chan,1999-02-11,Seventeen,South Korea
Dey,Kim Sehyun,2003-06-11,YOUNITE,South Korea
Dawon,Lee Sanghyuk,1995-07-24,SF9,South Korea
Dawon,Cho Dawon,2000-05-12,VARSITY,South Korea
Davin,Kim Davin,2002-05-30,XODIAC,South Korea
Daon,Ahn Seonil,2000-12-10,DUSTIN,South Korea
Dann,Jung Seungbo,1997-11-01,Kingdom,South Korea
Daniel,Kang Daniel,1996-12-10,Wanna One,South Korea
Damon,Hu Boohan,1996-07-02,VARSITY,China
Daeyeol,Lee Daeyeol,1993-02-11,Golden Child,South Korea
Daesung,Daesung,1989-04-26,BIGBANG,South Korea
Daeil,Kim Daeil,1992-05-10,,South Korea
Daehyun,Jung Daehyun,1993-06-28,B.A.P,South Korea
Daehyeon,Jang Daehyeon,1997-02-11,WEi,South Korea
Daehwi,Lee Daehwi,2001-01-29,AB6IX,South Korea
D1,Jang Dongil,1998-02-15,DKB,South Korea
D.O.,Do Kyungsoo,1993-01-12,EXO,South Korea
Cya,Lee Giwook,2000-01-24,Onewe,South Korea
Cory,Hong Joohyung,1990-11-25,24K,South Korea
CNU,Shin Dongwoo,1991-06-16,B1A4,South Korea
Chunji,Lee Chanhee,1993-10-05,Teen Top,South Korea
Chris,Han Chris,2002-11-19,BLITZERS,South Korea
Choi Jiann,Choi Jaewoo,1997-09-30,Newkidd,South Korea
Choi In,Choi In,1996-02-11,E'LAST,South Korea
Chiwoo,Guk Seungjun,2002-09-02,Kingdom,South Korea
Chihoon,Choi Chihoon,1999-04-27,TOO,South Korea
Chenle,Zhong Chenle,2001-11-22,NCT,China
Chen,Kim Jongdae,1992-09-21,EXO,South Korea
Chanyoung,Kim Chanyoung,2000-11-20,D-CRUNCH,South Korea
Chanyoung,Jung Chanyoung,2004-01-31,HAWW,South Korea
Chanyong,Kim Chanyong,1993-04-29,FAVE1,South Korea
Chanyeol,Park Chanyeol,1992-11-27,EXO,South Korea
Chanwook,Yang Chanwook,2002-02-25,WEUS,South Korea
Chanwon,An Chanwon,2008-03-21,The Wind,South Korea
Chansung,Hwang Chansung,1990-02-11,2:00 PM,South Korea
Chani,Kang Chanhee,2000-01-17,SF9,South Korea
Changuk,Joo Changuk,2001-07-25,DRIPPIN,South Korea
Changsun,Lee Changsun,1996-03-17,24K,South Korea
Changsub,Lee Changsub,1991-02-26,BtoB,South Korea
Changjo,Choi Jonghyun,1995-11-16,Teen Top,South Korea
Changgyu,Song Changgyu,1993-07-06,UNVS,South Korea
Changbum,Woo Changbum,1993-10-07,,South Korea
Changbin,Seo Changbin,1999-08-11,Stray Kids,South Korea
Chan,Jung Chanwoo,1998-01-26,iKON,South Korea
Chan,Kang Yoochan,1997-12-31,A.C.E,South Korea
Chan,Jo Chanhyuk,1999-12-08,TOO,South Korea
Chael,Lim Junyeop,2001-12-07,LUN8,South Korea
Chaejin,Chae Jinseok,1995-12-26,MYNAME,South Korea
Cha Hoon,Cha Hoon,1994-07-12,N.Flying,South Korea
Castle J,Son Sangjoon,1999-05-31,MCND,South Korea
Casper,Chu Xiaoxiang,1991-03-20,CROSS GENE,China
C.A.P,Bang Minsoo,1992-11-04,Teen Top,South Korea
Byunghoon,Choi Byunghoon,2000-04-26,CMDM,South Korea
Byungchan,Choi Byungchan,1997-11-12,VICTON,South Korea
Byeongkwan,Kim Byeongkwan,1996-08-13,A.C.E,South Korea
BX,Lee Byounggon,1998-03-05,CIX,South Korea
Bullet,Jin Junwoo,1995-12-02,VARSITY,South Korea
Brian,Brian Ho,2002-08-27,AMPERS&ONE,Canada
Boyul,Kwon Boyul,2002-01-21,WEUS,South Korea
Bomin,Choi Bomin,2000-08-24,Golden Child,South Korea
Bokeun,Kim Bokeun,1994-10-12,SIGNAL,South Korea
Bobby,Kim Jiwon,1995-12-21,iKON,South Korea
BM,Matthew Kim,1992-10-20,KARD,South Korea
Bitto,Lee Changhyun,1996-08-24,UP10TION,South Korea
Bitsaeon,Kim Sangyeon,1995-06-04,MONT,South Korea
Bit,No Minjae,2004-07-21,BAE173,South Korea
Bin,Kwon Soobin,1993-10-28,Hot Blood Youth,South Korea
Bic,Nam Seungmin,2001-04-25,MCND,South Korea
Beomsoo,Kim Beomsoo,2000-09-29,XODIAC,South Korea
Beomgyu,Choi Beomgyu,2001-03-13,TXT,South Korea
Benji,Baek Jaewook,1992-05-03,B.I.G,USA
BEL,Choi Sunghoon,2000-05-21,DUSTIN,South Korea
BC,Jin Sungho,1994-07-18,1TEAM,South Korea
Baron,Choi Chunghyeop,1992-04-19,,South Korea
Baro,Cha Sunwoo,1992-09-05,,South Korea
Bao,Bae Sungyeob,1996-05-12,XEED,South Korea
Bang Chan,Bang Chan,1997-10-03,Stray Kids,Australia
BamBam,Kunpimook Bhuwakul,1997-05-02,GOT7,Thailand
Bain,Song Byeonghee,2001-05-04,JUST B,South Korea
Baekhyun,Byun Baekhyun,1992-05-06,EXO,South Korea
Baekho,Kang Dongho,1995-07-21,NU'EST,South Korea
Baekgyeul,Baek Sunwoo,1999-12-01,E'LAST,South Korea
Baek Seung,Kim Hyunwoo,2004-10-05,EPEX,South Korea
B.S,Lee Youngsoo,1995-04-14,14U,South Korea
B.I,Kim Hanbin,1996-10-22,,South Korea
B-Joo,Kim Byungjoo,1994-01-08,Topp Dogg,South Korea
B-Bomb,Lee Minhyuk,1990-12-14,Block B,South Korea
Ayno,Noh Yoonho,1996-05-01,VAV,South Korea
Ayden,Kwon Yejun,2005-01-24,EPEX,South Korea
Asahi,Hanada Asahi,2001-08-20,Treasure,Japan
Arthur,Jang Yunho,2000-04-15,Kingdom,South Korea
Aron,Kwak Youngmin,1993-05-21,NU'EST,South Korea
Anton,Anton Chanyoung Lee,2004-03-21,RIIZE,USA
Anthony,Anthony Lo,1998-03-12,VARSITY,China
Andy,Lee Sunho,1981-01-21,Shinhwa,South Korea
Andy,Lui Chunyeung,1994-10-06,7 O'clock,Hong Kong
Allen,Allen Ma,1999-04-26,CRAVITY,USA
Alex,Alexander Schmidt Lee,2004-10-06,DRIPPIN,Germany
Ahxian,Park Sungkook,1996-03-27,VANNER,South Korea
Ace,Jang Wooyoung,1992-08-28,VAV,South Korea
A.M,Seong Hyunwoo,1996-12-31,Limitless,South Korea
A-min,Cho Minwoo,2004-05-22,EPEX,South Korea
2Soul,Kim Younghoon,1997-09-10,7 O'clock,South Korea
